count,keywords
10,"['corgi', 'samoyed', 'shiba inu']"
2,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']"
2,"['corgi', 'husky', 'shibu inu']"
2,"['alpaca', 'guanaco', 'llama', 'vicuna']"
2,"['cotton candy', 'hamburger', 'hot dog', 'nachos', 'popcorn']"
1,"['Bacterial_spot', 'Healthy']"
1,"['chocolate ice cream', 'vanilla ice cream']"
1,"['hot dog', 'not hot dog']"
1,"['italy soccer fan', 'spain soccer fan']"
1,"['drone', 'fighter', 'uav']"
1,"['aragorn', 'frodo', 'gandalf', 'gollum', 'legolas']"
1,"['upside_down', 'original']"
1,"['golden retriever', 'great dane', 'husky']"
1,"['computer mouse', 'desktop', 'keyboard', 'laptop', 'monitor']"
1,"['dingo', 'koala', 'kookaburra', 'possum', 'tasmanian devil']"
1,"['bathroom', 'bedroom', 'dining room', 'kitchen', 'laundry room', 'living room']"
1,"['cake', 'cookie', 'pie']"
1,"['automobiles', 'planes', 'trains']"
1,"['pasta', 'pizza', 'ravioli']"
1,"['cheetah', 'elephant', 'giraffe', 'rhino']"
1,"['bagel', 'donut']"
1,"['bernese mountain dog', 'husky', 'saint bernard']"
1,"['denver', 'new york city', 'paris']"
1,"['normal', 'pneumothorax']"
1,"['arc de triomphe', 'big ben', 'la sagrada familia', 'leaning tower of pisa', 'taj mahal']"
1,"['african pygmy goat', 'nigerian dwarf goat']"
1,"['dog drinking water', 'dog eating food', 'dog playing toy', 'dog sleeping']"
1,"['apple', 'banana', 'mango', 'orange', 'tomato']"
1,"['dosa', 'idli', 'naan', 'samosa', 'vada']"
1,"['control', 'flysheet']"
1,"['apple', 'banana', 'grape', 'kiwi', 'lemon']"
1,"['bunny', 'moon', 'sun', 'tiger']"
1,"['idli', 'kachori', 'pani puri', 'samosa', 'vada pav']"
1,"['dosai', 'idiyappam', 'idli', 'puttu', 'vadai']"
1,"['Public Drinking', 'Public Smoking', 'non-violation']"
1,"['bee', 'hoverfly', 'wasp']"
1,"['Beach', 'City', 'Forest']"
1,"['bathroom', 'bedroom', 'dining room', 'kitchen', 'living room']"
1,"['clover', 'dichondra', 'grass']"
1,"['blue whale', 'dolphin', 'orca whale']"
1,"['buldog', 'golden', 'pug']"
1,"['karanfil', 'leylak', 'menekse', 'nergis', 'zambak']"
1,"['London', 'New York', 'Tokyo']"
1,"['Husky siberiano', 'cocker spaniel', 'galgo', 'labrador', 'pastor aleman']"
1,"['cucumber', 'green beans', 'okra', 'pickle', 'zucinni']"
1,"['Big Check shirt', 'Formal Shirt', 'casual shirt', 'denim shirt']"
1,"['best kitchen island', 'kitchen cabinet', 'kitchen countertop']"
1,"['Bulldog', 'German Shepherd Dog', 'Golden Retriever Dog', 'Shiba Inu Dog']"
1,"['Cooling tower', 'Transmission grid', 'Wind turbines']"
1,"['dark skin', 'light skin']"
1,"['damaged road', 'good road']"
1,"['beer', 'wine']"
1,"['beer', 'whisky', 'wine']"
1,"['classical revival architecture', 'craftsman bungalow architecture', 'mid-century modern ranch', 'queen anne architecture', 'tudor cottage architecture']"
1,"['corgi', 'husky', 'samoyed', 'shiba inu']"
