model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
Aftabhussain/Tomato_Leaf_Classifier,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['Bacterial_spot', 'Healthy']",,,
Ahmed9275/ALL,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-2,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-3,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,
Ahmed9275/ALL-94.5,224.0,768.0,['ViTForImageClassification'],,,2.0,,,single_label_classification,
Ahmed9275/ALL-test,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,
Ahmed9275/Vit-Cifar100,224.0,768.0,['ViTForImageClassification'],,cifar100,100.0,cifar100,,single_label_classification,
AhmedSayeem/VIT_Basic,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']",,single_label_classification,
AkshatSurolia/BEiT-FaceMask-Finetuned,224.0,768.0,['BeitForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
AkshatSurolia/ConvNeXt-FaceMask-Finetuned,224.0,768.0,['ConvNextForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,single_label_classification,
AkshatSurolia/DeiT-FaceMask-Finetuned,224.0,768.0,['DeiTForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
AkshatSurolia/ViT-FaceMask-Finetuned,224.0,768.0,['ViTForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/mask,,,
Amrrs/indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['idli', 'kachori', 'pani puri', 'samosa', 'vada pav']",,,
Amrrs/south-indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['dosai', 'idiyappam', 'idli', 'puttu', 'vadai']",,,
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
AykeeSalazar/vc-bantai-vit-withoutAMBI,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Public Drinking', 'Public Smoking', 'non-violation']",,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-v100ep,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-v80ep,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
AykeeSalazar/violation-classification-bantai-vit-withES,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
