model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
Aftabhussain/Tomato_Leaf_Classifier,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['Bacterial_spot', 'Healthy']",,,
Ahmed9275/ALL-3,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,,,single_label_classification,
Ahmed9275/ALL-test,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,,,single_label_classification,
Ahmed9275/Vit-Cifar100,224.0,768.0,['ViTForImageClassification'],,cifar100,100.0,"['apple', 'aquarium_fish', 'baby', 'bear', 'beaver', 'bed', 'bee', 'beetle', 'bicycle', 'bottle', 'bowl', 'boy', 'bridge', 'bus', 'butterfly', 'camel', 'can', 'castle', 'caterpillar', 'cattle', 'chair', 'chimpanzee', 'clock', 'cloud', 'cockroach', 'couch', 'cra', 'crocodile', 'cup', 'dinosaur', 'dolphin', 'elephant', 'flatfish', 'forest', 'fox', 'girl', 'hamster', 'house', 'kangaroo', 'keyboard', 'lamp', 'lawn_mower', 'leopard', 'lion', 'lizard', 'lobster', 'man', 'maple_tree', 'motorcycle', 'mountain', 'mouse', 'mushroom', 'oak_tree', 'orange', 'orchid', 'otter', 'palm_tree', 'pear', 'pickup_truck', 'pine_tree', 'plain', 'plate', 'poppy', 'porcupine', 'possum', 'rabbit', 'raccoon', 'ray', 'road', 'rocket', 'rose', 'sea', 'seal', 'shark', 'shrew', 'skunk', 'skyscraper', 'snail', 'snake', 'spider', 'squirrel', 'streetcar', 'sunflower', 'sweet_pepper', 'table', 'tank', 'telephone', 'television', 'tiger', 'tractor', 'train', 'trout', 'tulip', 'turtle', 'wardrobe', 'whale', 'willow_tree', 'wolf', 'woman', 'worm']",,single_label_classification,
AhmedSayeem/VIT_Basic,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']",,single_label_classification,
AkshatSurolia/BEiT-FaceMask-Finetuned,224.0,768.0,['BeitForImageClassification'],,poolrf2001/FaceMask,2.0,"['Mask', 'No Mask']",,,
AkshatSurolia/ConvNeXt-FaceMask-Finetuned,224.0,768.0,['ConvNextForImageClassification'],,poolrf2001/FaceMask,2.0,"['Mask', 'No Mask']",,single_label_classification,
AkshatSurolia/DeiT-FaceMask-Finetuned,256.0,768.0,['DeiTForImageClassification'],,poolrf2001/FaceMask,2.0,"['Mask', 'No Mask']",,,
AkshatSurolia/ViT-FaceMask-Finetuned,224.0,768.0,['ViTForImageClassification'],,poolrf2001/FaceMask,2.0,"['Mask', 'No Mask']",,,
Amrrs/indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['idli', 'kachori', 'pani puri', 'samosa', 'vada pav']",,,
Amrrs/south-indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['dosai', 'idiyappam', 'idli', 'puttu', 'vadai']",,,
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
AykeeSalazar/vc-bantai-vit-withoutAMBI,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Public Drinking', 'Public Smoking', 'non-violation']",,single_label_classification,
Calin/convnext-tiny-finteuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
Frodnar/bee-likes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['bee', 'hoverfly', 'wasp']",,,
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
Giuliano/places,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Beach', 'City', 'Forest']",,,
HHousen/household-rooms,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['bathroom', 'bedroom', 'dining room', 'kitchen', 'living room']",,,
Hijazzi/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,single_label_classification,
IDEA-CCNL/Taiyi-vit-87M-D,224.0,768.0,['ViTForImageClassification'],,imagenet,1000.0,,,,
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,"['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']",,single_label_classification,
LorenzoDeMattei/lawn-weeds,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['clover', 'dichondra', 'grass']",,,
Matthijs/snacks-classifier,224.0,768.0,['SwinForImageClassification'],,Matthijs/snacks,20.0,"['apple', 'banana', 'cake', 'candy', 'carrot', 'cookie', 'doughnut', 'grape', 'hot dog', 'ice cream', 'juice', 'muffin', 'orange', 'pineapple', 'popcorn', 'pretzel', 'salad', 'strawberry', 'waffle', 'watermelon']",,single_label_classification,
Neto71/sea_mammals,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['blue whale', 'dolphin', 'orca whale']",,,
Nonem100/Test-Model,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['cotton candy', 'hamburger', 'hot dog', 'nachos', 'popcorn']",,single_label_classification,
Rajaram1996/FacialEmoRecog,224.0,768.0,['ViTForImageClassification'],,FastJobs/Visual_Emotional_Analysis,8.0,"['anger', 'contempt', 'disgust', 'fear', 'happy', 'neutral', 'sadness', 'surprise']",,,
Sena/dog,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['buldog', 'golden', 'pug']",,,
Sena/flowers,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['karanfil', 'leylak', 'menekse', 'nergis', 'zambak']",,,
